playerID,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,adapt_score
aardsda01,331,0,0,0,0,0,0,0,0,0.0
aaronha01,0,0,210,43,7,0,315,308,2174,0.9371
aaronto01,0,0,232,7,10,0,135,1,2,1.0619
aasedo01,448,0,0,0,0,0,0,0,0,0.0
abadan01,0,0,8,0,0,0,0,0,1,0.35420000000000007
abadfe01,315,0,0,0,0,0,0,0,0,0.0
abadijo01,0,0,12,0,0,0,0,0,0,0.0
abbated01,0,0,0,419,20,388,0,2,1,1.0833
abbeybe01,79,0,0,0,0,0,0,0,0,0.0
abbeych01,1,0,0,0,0,0,92,185,173,1.4221
abbotda01,3,0,0,0,0,0,0,0,0,0.0
abbotfr01,0,138,15,0,0,0,0,0,0,0.31499999999999995
abbotgl01,248,0,0,0,0,0,0,0,0,0.0
abbotje01,0,0,0,0,0,0,63,81,55,1.4701
abbotji01,263,0,0,0,0,0,0,0,0,0.0
abbotku01,0,0,8,173,43,349,32,4,8,1.2706
abbotky01,57,0,0,0,0,0,0,0,0,0.0
abbotod01,0,0,0,0,0,0,0,21,0,0.0
abbotpa01,162,0,0,0,0,0,0,0,0,0.0
aberal01,168,0,0,0,0,0,0,0,0,0.0
abercda01,0,0,0,0,0,1,0,0,0,0.0
abercre01,0,0,0,0,0,0,18,115,15,0.7105000000000001
abernbi01,1,0,0,0,0,0,0,0,0,0.0
abernbr01,0,0,0,223,0,0,5,0,0,0.07330000000000014
abernte01,7,0,0,0,0,0,0,0,0,0.0
abernte02,681,0,0,0,0,0,0,0,0,0.0
abernwo01,16,0,0,0,0,0,0,0,0,0.0
aberscl01,0,0,0,0,0,0,47,0,1,0.0697000000000001
ablesha01,14,0,0,0,0,0,0,0,0,0.0
abnersh01,0,0,0,0,0,0,73,153,120,1.4115
abramca01,0,0,3,0,0,0,95,100,271,1.2303
abramge01,3,0,0,0,0,0,0,0,0,0.0
abregjo01,6,0,0,0,0,0,0,0,0,0.0
abreubo01,0,0,0,0,0,0,142,21,1990,0.24860000000000015
abreujo01,0,0,0,2,6,0,0,0,0,0.7189999999999999
abreujo02,0,0,376,0,0,0,0,0,0,0.0
abreuju01,7,0,0,0,0,0,0,0,0,0.0
abreuto01,0,0,0,80,59,29,0,0,0,1.3503
abreuwi01,38,0,0,0,0,0,0,0,0,0.0
abstebi01,0,0,158,3,0,0,0,0,2,0.10289999999999999
accarje01,262,0,0,0,0,0,0,0,0,0.0
aceveal01,204,0,0,0,0,0,0,0,0,0.0
acevejo01,104,0,0,0,0,0,0,0,0,0.0
aceveju01,367,0,0,0,0,0,0,0,0,0.0
achteaj01,45,0,0,0,0,0,0,0,0,0.0
ackerji01,467,0,0,0,0,0,0,0,0,0.0
ackerto01,153,0,0,0,0,0,0,0,0,0.0
ackledu01,0,0,35,292,0,0,211,71,11,1.431
