playerID,G_all,GS,G_batting,G_defense,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,G_ph,G_pr,adapt_score
aardsda01,331,0.0,139,331,331,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
aaronha01,3298,3173.0,3298,2985,0,0,210,43,7,0,315,308,2174,2760,201.0,122.0,1.0,0.9371
aaronto01,437,206.0,437,346,0,0,232,7,10,0,135,1,2,137,0.0,102.0,35.0,1.0619
aasedo01,448,91.0,81,448,448,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
abadan01,15,4.0,15,9,0,0,8,0,0,0,0,0,1,1,0.0,7.0,1.0,0.35420000000000007
abadfe01,315,6.0,135,315,315,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
abadijo01,12,,12,12,0,0,12,0,0,0,0,0,0,0,,,,0.0
abbated01,855,,855,855,0,0,0,419,20,388,0,2,1,3,,,,1.0833
abbeybe01,79,,79,79,79,0,0,0,0,0,0,0,0,0,,,,0.0
abbeych01,452,,452,452,1,0,0,0,0,0,92,185,173,451,,,,1.4221
abbotda01,3,,3,3,3,0,0,0,0,0,0,0,0,0,,,,0.0
abbotfr01,160,,160,160,0,138,15,0,0,0,0,0,0,0,,,,0.31499999999999995
abbotgl01,248,204.0,3,248,248,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
abbotje01,233,144.0,233,185,0,0,0,0,0,0,63,81,55,185,12.0,50.0,9.0,1.4701
abbotji01,263,254.0,18,263,263,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
abbotku01,702,508.0,702,602,0,0,8,173,43,349,32,4,8,43,6.0,107.0,23.0,1.2706
abbotky01,57,22.0,49,57,57,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
abbotod01,22,,22,22,0,0,0,0,0,0,0,21,0,21,,,,0.0
abbotpa01,162,112.0,16,162,162,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
aberal01,168,30.0,168,168,168,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
