id,key,value,type
38763,type,multipolygon,regular
38763,water,pond,regular
38763,natural,water,regular
304272,type,multipolygon,regular
304272,natural,water,regular
304314,type,multipolygon,regular
304314,natural,water,regular
304325,type,multipolygon,regular
304325,natural,water,regular
304325,waterway,riverbank,regular
304344,type,multipolygon,regular
304344,natural,water,regular
304359,type,multipolygon,regular
304359,natural,water,regular
304359,waterway,riverbank,regular
304359,ComID,148750581,NHD
304359,FCode,46006,NHD
304359,FDate,2006/05/31,NHD
304359,FTYPE,StreamRiver,NHD
304359,RESOLUTION,High,NHD
304400,type,multipolygon,regular
304400,natural,water,regular
304415,type,multipolygon,regular
304415,natural,water,regular
304415,waterway,riverbank,regular
304417,type,multipolygon,regular
304417,natural,water,regular
304417,waterway,riverbank,regular
304449,type,multipolygon,regular
304449,natural,wetland,regular
304465,type,multipolygon,regular
304465,natural,wetland,regular
304484,type,multipolygon,regular
304484,natural,water,regular
304488,type,multipolygon,regular
304488,natural,water,regular
304491,type,multipolygon,regular
304491,natural,wetland,regular
304493,type,multipolygon,regular
304493,natural,water,regular
304496,type,multipolygon,regular
304496,natural,water,regular
304513,type,multipolygon,regular
304513,natural,wetland,regular
304533,type,multipolygon,regular
304533,natural,wetland,regular
304535,type,multipolygon,regular
304535,natural,wetland,regular
304588,type,multipolygon,regular
304588,natural,wetland,regular
304627,type,multipolygon,regular
304627,natural,water,regular
304627,waterway,riverbank,regular
304632,type,multipolygon,regular
304632,natural,wetland,regular
304633,type,multipolygon,regular
304633,natural,wetland,regular
304634,type,multipolygon,regular
304634,natural,wetland,regular
304635,type,multipolygon,regular
304635,natural,wetland,regular
304639,type,multipolygon,regular
304639,natural,wetland,regular
304641,ele,0,regular
304641,name,Lake Pontchartrain,regular
304641,natural,water,regular
304641,sqkm,1630,regular
304641,type,multipolygon,regular
304641,water,lake,regular
304641,wikidata,Q1331750,regular
304641,wikipedia,en:Lake Pontchartrain,regular
304645,type,multipolygon,regular
304645,natural,wetland,regular
304647,type,multipolygon,regular
304647,natural,wetland,regular
304648,type,multipolygon,regular
304648,natural,wetland,regular
304649,type,multipolygon,regular
304649,natural,wetland,regular
304752,type,multipolygon,regular
304752,natural,water,regular
304754,type,multipolygon,regular
304754,natural,water,regular
304755,type,multipolygon,regular
304755,natural,water,regular
304756,type,multipolygon,regular
304756,natural,wetland,regular
304757,type,multipolygon,regular
304757,natural,water,regular
304758,type,multipolygon,regular
304758,natural,wetland,regular
304759,type,multipolygon,regular
304759,natural,wetland,regular
304760,type,multipolygon,regular
304760,natural,water,regular
304761,type,multipolygon,regular
304761,natural,wetland,regular
304765,type,multipolygon,regular
304765,natural,wetland,regular
304766,type,multipolygon,regular
304766,natural,wetland,regular
304767,type,multipolygon,regular
304767,natural,wetland,regular
304768,type,multipolygon,regular
304768,natural,water,regular
304772,ele,-1.200,regular
304772,natural,water,regular
304772,ComID,139183050,NHD
304772,Elevation,-1.20000000000,NHD
304772,FCode,39009,NHD
304772,FDate,2005/08/26,NHD
304772,FTYPE,LakePond,NHD
304772,ReachCode,08090203031907,NHD
304772,RESOLUTION,High,NHD
304772,source,NHD,regular
304772,type,multipolygon,regular
304773,type,multipolygon,regular
304773,natural,wetland,regular
304774,type,multipolygon,regular
304774,natural,wetland,regular
304776,type,multipolygon,regular
304776,natural,wetland,regular
304777,type,multipolygon,regular
304777,natural,wetland,regular
304780,type,multipolygon,regular
304780,natural,wetland,regular
304783,type,multipolygon,regular
304783,natural,wetland,regular
304785,type,multipolygon,regular
304785,source,NHD,regular
304785,natural,water,regular
304785,ComID,139199857,NHD
304785,FCode,39004,NHD
304785,FDate,2005/08/26,NHD
304785,FTYPE,LakePond,NHD
304785,ReachCode,08090203047718,NHD
304785,RESOLUTION,High,NHD
304786,type,multipolygon,regular
304786,natural,wetland,regular
304788,type,multipolygon,regular
304788,natural,wetland,regular
304795,type,multipolygon,regular
304795,natural,water,regular
304796,type,multipolygon,regular
304796,natural,wetland,regular
304797,type,multipolygon,regular
304797,natural,wetland,regular
304799,type,multipolygon,regular
304799,natural,wetland,regular
304800,type,multipolygon,regular
304800,natural,wetland,regular
304809,type,multipolygon,regular
304809,natural,wetland,regular
304811,type,multipolygon,regular
304811,natural,wetland,regular
304812,type,multipolygon,regular
304812,natural,water,regular
304813,type,multipolygon,regular
304813,natural,wetland,regular
304814,type,multipolygon,regular
304814,natural,water,regular
304815,type,multipolygon,regular
304815,natural,water,regular
304817,type,multipolygon,regular
304817,natural,wetland,regular
304818,type,multipolygon,regular
