"actor_1_facebook_likes","actor_2_facebook_likes","actor_3_facebook_likes","cast_total_facebook_likes","director_facebook_likes","movie_facebook_likes"
1000,936,855,4834,0,33000
40000,5000,1000,48350,563,0
11000,393,161,11700,0,85000
27000,23000,23000,106759,22000,164000
131,12,NA,143,131,0
640,632,530,1873,475,24000
24000,11000,4000,46055,0,0
799,553,284,2036,15,29000
26000,21000,19000,92000,0,118000
25000,11000,10000,58753,282,10000
15000,4000,2000,24450,0,197000
18000,10000,903,29991,0,0
451,412,393,2023,395,0
40000,5000,1000,48486,563,5000
40000,2000,1000,45757,563,48000
15000,3000,748,20495,0,118000
22000,216,201,22697,80,0
26000,21000,19000,87697,0,123000
40000,11000,1000,54083,252,58000
10000,816,718,12572,188,40000
5000,972,773,9152,0,65000
15000,10000,963,28489,464,56000
891,882,738,3244,0,17000
5000,972,773,9152,0,83000
16000,6000,1000,24106,129,0
6000,919,84,7123,0,0
29000,14000,794,45223,0,26000
21000,19000,11000,64798,94,72000
14000,10000,627,26679,532,44000
3000,2000,1000,8458,365,150000
883,563,393,2039,0,80000
24000,11000,4000,43388,0,0
21000,4000,3000,30426,1000,95000
40000,25000,11000,79957,13000,24000
20000,808,560,21714,420,0
12000,779,760,14863,37,44000
894,581,464,3218,0,0
974,956,808,3988,0,56000
44000,15000,11000,73441,0,60000
15000,10000,825,28631,464,41000
12000,10000,1000,25550,364,30000
1000,919,776,4482,487,10000
16000,368,326,17657,258,24000
15000,1000,721,19085,125,30000
23000,3000,988,27468,368,0
26000,23000,14000,79150,0,94000
17000,11000,1000,32392,395,129000
34000,22000,20000,91434,0,82000
19000,981,928,21411,14000,92000
979,557,140,1766,0,22000
29000,509,77,29770,1000,115000
15000,567,236,16149,179,23000
16000,968,919,19166,0,83000
894,829,581,2593,0,46000
11000,1000,1000,14959,14000,5000
275,150,113,696,113,20000
2000,1000,838,5005,56,39000
998,119,105,1327,681,30000
1000,729,522,2975,475,16000
268,268,173,1125,420,0
1000,468,310,2144,776,13000
18000,14000,10000,48878,0,0
17000,15000,13000,47334,0,44000
11000,10000,103,21175,282,29000
1000,190,82,1317,80,0
34000,13000,1000,49684,0,54000
23000,13000,11000,57802,22000,37000
1000,848,262,2635,0,27000
1000,973,459,2579,11,0
21000,12000,4000,39252,4000,10000
17000,16000,1000,36017,17000,42000
10000,4000,582,15870,188,0
5000,3000,595,9131,357,0
10000,336,329,11287,452,80000
87000,11000,7000,108016,293,2000
10000,854,509,12652,218,77000
711,60,60,1004,58,0
23000,2000,570,26683,208,0
1000,767,384,2944,0,118000
19000,13000,591,32921,4000,65000
21000,19000,4000,48638,4000,18000
26000,17000,11000,72881,274,53000
11000,2000,846,15516,171,89000
10000,2000,884,14363,198,45000
622,525,283,1982,596,677
18000,1000,982,20965,47,35000
19000,11000,2000,36188,94,55000
4000,225,213,4628,31,0
2000,638,604,5046,663,37000
756,719,562,2963,38,41000
975,931,833,4451,66,40000
15000,726,267,16264,0,10000
890,812,535,3233,776,67000
18000,953,759,20453,255,33000
648,284,191,1769,84,0
14000,14000,3000,32438,571,96000
11000,11000,6000,31488,22000,349000
29000,27000,23000,81115,22000,175000
544,106,12,699,28,0
5000,972,773,9152,0,166000
23000,14000,4000,45327,357,14000
11000,1000,919,13333,21000,23000
34000,13000,1000,50983,905,54000
34000,22000,14000,81385,508,38000
12000,418,370,13388,226,11000
87000,2000,702,92456,249,0
40000,25000,11000,80806,33,30000
3000,795,692,4705,50,0
3000,716,648,5505,0,89000
24000,10000,2000,38873,230,82000
531,82,59,764,150,11000
3000,961,691,5401,0,0
662,599,581,2333,0,8000
12000,11000,591,24598,0,0
21000,11000,687,33433,282,0
21000,11000,10000,53413,179,0
10000,9000,979,21584,532,0
10000,1000,558,13076,508,11000
40000,16000,588,57844,13000,0
1000,1000,954,4764,663,10000
