Points Against	Points	Game	Home/Away	Opponent	Overtime?	Pts Diff	Season	Team
129	120	100	Away	Golden State Warriors		-9	Playoffs	Cavaliers
137	116	98	Away	Cleveland Cavaliers		-21	Playoffs	Warriors
116	137	99	Home	Golden State Warriors		21	Playoffs	Cavaliers
120	129	99	Home	Cleveland Cavaliers		9	Playoffs	Warriors
129	100	1	Home	San Antonio Spurs		-29	Regular Season	Warriors
88	117	1	Home	New York Knicks		29	Regular Season	Cavaliers
91	94	2	Away	Toronto Raptors		3	Regular Season	Cavaliers
114	122	2	Away	New Orleans Pelicans		8	Regular Season	Warriors
99	105	3	Home	Orlando Magic		6	Regular Season	Cavaliers
100	106	3	Away	Phoenix Suns		6	Regular Season	Warriors
104	127	4	Away	Portland Trail Blazers		23	Regular Season	Warriors
120	128	4	Home	Houston Rockets		8	Regular Season	Cavaliers
122	128	5	Home	Boston Celtics		6	Regular Season	Cavaliers
96	122	5	Home	Oklahoma City Thunder		26	Regular Season	Warriors
117	97	6	Away	Los Angeles Lakers		-20	Regular Season	Warriors
101	102	6	Away	Philadelphia 76ers		1	Regular Season	Cavaliers
106	116	7	Home	New Orleans Pelicans		10	Regular Season	Warriors
110	106	7	Home	Atlanta Hawks		-4	Regular Season	Cavaliers
95	116	8	Home	Dallas Mavericks		21	Regular Season	Warriors
101	125	9	Away	Denver Nuggets		24	Regular Season	Warriors
94	105	8	Away	Washington Wizards		11	Regular Season	Cavaliers
93	100	9	Home	Charlotte Hornets		7	Regular Season	Cavaliers
120	133	10	Home	Phoenix Suns		13	Regular Season	Warriors
117	121	10	Home	Toronto Raptors		4	Regular Season	Cavaliers
103	93	11	Away	Indiana Pacers		-10	Regular Season	Cavaliers
121	127	11	Away	Toronto Raptors		6	Regular Season	Warriors
88	104	12	Away	Boston Celtics		16	Regular Season	Warriors
81	104	12	Home	Detroit Pistons		23	Regular Season	Cavaliers
121	124	13	Away	Milwaukee Bucks		3	Regular Season	Warriors
83	120	14	Away	Indiana Pacers		37	Regular Season	Warriors
125	137	13	Home	Portland Trail Blazers		12	Regular Season	Cavaliers
106	149	15	Home	Los Angeles Lakers		43	Regular Season	Warriors
85	109	16	Away	Los Angeles Lakers		24	Regular Season	Warriors
90	128	14	Home	Dallas Mavericks		38	Regular Season	Cavaliers
102	115	17	Home	Minnesota Timberwolves		13	Regular Season	Warriors
108	112	15	Away	Philadelphia 76ers		4	Regular Season	Cavaliers
100	105	18	Home	Atlanta Hawks		5	Regular Season	Warriors
118	101	16	Away	Milwaukee Bucks		-17	Regular Season	Cavaliers
113	94	17	Home	Los Angeles Clippers		-19	Regular Season	Cavaliers
132	127	19	Home	Houston Rockets	2OT	-5	Regular Season	Warriors
111	105	18	Away	Chicago Bulls		-6	Regular Season	Cavaliers
109	138	20	Home	Phoenix Suns		29	Regular Season	Warriors
112	116	19	Away	Toronto Raptors		4	Regular Season	Cavaliers
106	142	21	Home	Indiana Pacers		36	Regular Season	Warriors
94	126	20	Away	New York Knicks		32	Regular Season	Cavaliers
98	115	22	Away	Los Angeles Clippers		17	Regular Season	Warriors
99	106	23	Away	Utah Jazz		7	Regular Season	Warriors
84	114	21	Home	Miami Heat		30	Regular Season	Cavaliers
110	89	24	Away	Memphis Grizzlies		-21	Regular Season	Warriors
105	116	22	Home	Charlotte Hornets		11	Regular Season	Cavaliers
108	116	25	Away	Minnesota Timberwolves		8	Regular Season	Warriors
109	113	26	Away	New Orleans Pelicans		4	Regular Season	Warriors
86	103	23	Home	Memphis Grizzlies		17	Regular Season	Cavaliers
93	85	24	Away	Memphis Grizzlies		-8	Regular Season	Cavaliers
90	103	27	Home	New York Knicks		13	Regular Season	Warriors
108	119	25	Home	Los Angeles Lakers		11	Regular Season	Cavaliers
