Park,Park Type,State,Year,Recreation Visitors,Non-Recreation Visitors
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1934,"175,000",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1935,"89,355",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1936,"149,665",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1937,"111,840",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1938,"121,144",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1939,"112,626",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1940,"136,945",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1941,"110,830",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1942,"59,210",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1943,"13,520",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1944,"13,060",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1945,"23,271",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1946,"51,056",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1947,"60,323",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1948,"75,150",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1949,"89,793",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1950,"136,487",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1951,"169,999",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1952,"239,371",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1953,"260,764",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1954,"284,500",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1955,"235,000",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1956,"287,800",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1957,"287,500",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1958,"186,900",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1959,"353,700",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1960,"331,300",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1961,"297,500",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1962,"315,800",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1963,"293,400",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1964,"284,600",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1965,"371,600",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1966,"397,200",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1967,"403,700",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1968,"397,000",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1969,"555,300",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1970,"486,600",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1971,"489,300",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1972,"557,439",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1973,"522,800",
Abraham Lincoln Birthplace,National Historical Park,Kentucky,1974,"413,900",
